SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,Scientific,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
145,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_canicollis,Chaco Chachalaca,20,0,0,0,0,0,30,0,10,40,Omnivore,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,539,Dunning08,1,NA,NA
146,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_leucogastra,White-bellied Chachalaca,10,0,0,0,0,0,70,0,0,20,FruiNect,Ref_2,A,Jennifer,0,0,10,10,80,0,0,0,Ref_2,1,Other,0,495.82,Dunning08,1,NA,NA
147,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_guttata,Speckled Chachalaca,0,0,0,0,0,0,90,0,10,0,FruiNect,Ref_2,B,Jennifer,0,0,0,0,50,50,0,0,Ref_2,1,Jessica,0,547.72,Dunning08,1,NA,NA
148,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_motmot,Little Chachalaca,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,520,Dunning08,1,NA,NA
149,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Ortalis_superciliaris,Buff-browed Chachalaca,0,0,0,0,0,0,60,0,0,40,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,40,40,0,0,Genus,0,Walter,0,578.6,GenAvg,0,NA,NA
150,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_argyrotis,Band-tailed Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,806.71,Dunning08,1,NA,NA
151,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_barbata,Bearded Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,1179.66,GenAvg,0,NA,NA
152,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_ortoni,Baudo Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,20,0,50,30,0,0,Genus,0,Walter,0,1179.66,GenAvg,0,NA,NA
153,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_montagnii,Andean Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,0,0,100,0,0,0,Ref_2,1,Jessica,0,706,Dunning08,1,NA,NA
154,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_marail,Marail Guan,0,0,0,0,0,0,100,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,20,0,40,40,0,0,Ref_2,1,Jessica,0,879.67,Dunning08,1,NA,NA
155,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_superciliaris,Rusty-margined Guan,10,0,0,0,0,0,90,0,0,0,FruiNect,Ref_2,A,Jennifer,0,0,33,0,33,33,0,0,Ref_2,1,Jessica,0,894.99,Dunning08,1,NA,NA
156,Nonpasseriformes,Galliformes,Cracidae,Guans and curassows,8,BL3,Penelope_dabbenei,Red-faced Guan,0,0,0,0,0,0,80,0,0,20,FruiNect,Ref_2,D1,Jennifer,0,0,0,0,70,30,0,0,Ref_2,1,Jessica,0,1230,Dunning08,1,NA,NA
