ID,longitude,latitude,timestamp
191545.1,-121.9440536,38.13519669,5/26/2019 18:28
191545.1,-121.9449081,38.13379669,5/26/2019 18:58
191545.1,-121.945137,38.13399124,5/26/2019 19:28
191545.1,-121.94487,38.13380051,5/26/2019 19:58
191545.1,-121.9449387,38.13383484,5/26/2019 20:28
191545.1,-121.9453583,38.13427353,5/26/2019 20:58
191545.1,-121.9459229,38.13504791,5/26/2019 21:28
191545.1,-121.945343,38.1342392,5/26/2019 21:58
191545.1,-121.9455872,38.13542175,5/26/2019 22:28
191545.1,-121.9455948,38.13540268,5/26/2019 22:58
191545.1,-121.9458466,38.13532639,5/26/2019 23:28
191545.1,-121.9458694,38.13566589,5/26/2019 23:58
191545.1,-121.9459152,38.13571167,5/27/2019 0:28
191545.1,-121.9458466,38.13566589,5/27/2019 0:58
191545.1,-121.945961,38.13566971,5/27/2019 1:28
191545.1,-121.9458923,38.13575363,5/27/2019 1:58
191545.1,-121.9458694,38.13579559,5/27/2019 2:28
191545.1,-121.9459076,38.13579941,5/27/2019 2:58
191545.1,-121.9455872,38.13633728,5/27/2019 3:29
191545.1,-121.9442062,38.13574982,5/27/2019 3:58
191545.1,-121.9440994,38.13566589,5/27/2019 4:28
191545.1,-121.9440765,38.13569641,5/27/2019 4:58
191545.1,-121.9441223,38.13568115,5/27/2019 5:28
191545.1,-121.9440613,38.13565445,5/27/2019 5:58
191545.1,-121.9440765,38.13567352,5/27/2019 6:28
191545.1,-121.9440536,38.13572311,5/27/2019 6:58
191545.1,-121.9440918,38.13568878,5/27/2019 7:28
191545.1,-121.9440231,38.13570786,5/27/2019 7:58
191545.1,-121.9440994,38.13568878,5/27/2019 8:28
191545.1,-121.9440994,38.1356926,5/27/2019 8:58
191545.1,-121.9441071,38.13570404,5/27/2019 9:28
191545.1,-121.9441299,38.13566589,5/27/2019 9:58
191545.1,-121.9441528,38.13574219,5/27/2019 10:28
191545.1,-121.9441299,38.13566971,5/27/2019 10:59
191545.1,-121.9440536,38.13567352,5/27/2019 11:28
191545.1,-121.9457779,38.13523865,5/27/2019 11:59
